Number of Images: 2
opening  /proj3/Slimer/Slimer_mk2/7_10_2013/no_source_7_10_2013_200msec/no_source_7_10_2013_200msec001t11118.tif
opening  /proj3/Slimer/Slimer_mk2/7_10_2013/no_source_7_10_2013_200msec/no_source_7_10_2013_200msec001t01118.tif
preparing to cycle
DBSCAN maxCounts: 0.0
DBSCAN maxCounts: 0.0
done with cycle
         11305648 function calls (11301641 primitive calls) in 55.320 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImImagePlugin.py:105(ImImageFile)
        2    0.000    0.000    0.000    0.000 ImImagePlugin.py:110(_open)
        1    0.000    0.000    0.001    0.001 ImImagePlugin.py:29(<module>)
       13    0.000    0.000    0.000    0.000 Image.py:105(isDirectory)
        1    0.000    0.000    0.000    0.000 Image.py:1208(putdata)
        1    0.000    0.000    0.000    0.000 Image.py:1228(putpalette)
        1    0.000    0.000    0.000    0.000 Image.py:1683(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1718(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1722(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1750(new)
        2    0.000    0.000    0.103    0.052 Image.py:1943(open)
       38    0.000    0.000    0.000    0.000 Image.py:2082(register_open)
       11    0.000    0.000    0.000    0.000 Image.py:2094(register_mime)
       20    0.000    0.000    0.000    0.000 Image.py:2104(register_save)
       50    0.000    0.000    0.000    0.000 Image.py:2114(register_extension)
        1    0.002    0.002    0.003    0.003 Image.py:27(<module>)
        2    0.023    0.012    0.032    0.016 Image.py:290(preinit)
        1    0.001    0.001    0.067    0.067 Image.py:328(init)
        1    0.000    0.000    0.000    0.000 Image.py:34(_imaging_not_installed)
      128    0.000    0.000    0.001    0.000 Image.py:371(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:407(_E)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
       14    0.000    0.000    0.000    0.000 Image.py:449(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:460(_new)
        8    0.000    0.000    0.000    0.000 Image.py:503(__getattr__)
        7    0.000    0.000    0.000    0.000 Image.py:606(load)
       29    0.000    0.000    0.000    0.000 Image.py:83(isStringType)
        2    0.000    0.000    0.004    0.002 Image.py:884(getdata)
      128    0.000    0.000    0.000    0.000 Image.py:92(isTupleType)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        2    0.001    0.000    0.004    0.002 ImageFile.py:124(load)
        2    0.000    0.000    0.000    0.000 ImageFile.py:227(load_prepare)
        2    0.000    0.000    0.000    0.000 ImageFile.py:236(load_end)
        1    0.000    0.000    0.000    0.000 ImageFile.py:254(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:283(_ParserFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:330(Parser)
       18    0.000    0.000    0.000    0.000 ImageFile.py:516(_safe_read)
      126    0.000    0.000    0.000    0.000 ImageFile.py:58(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:69(ImageFile)
       12    0.000    0.000    0.002    0.000 ImageFile.py:72(__init__)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:106(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:122(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:140(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:156(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:167(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:180(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:193(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:204(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:215(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:226(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:237(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:24(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:248(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:259(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:270(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:283(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:57(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:64(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:90(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.001    0.001    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:28(__init__)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:37(getdata)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:93(raw)
        1    0.000    0.000    0.001    0.001 ImtImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImtImagePlugin.py:32(ImtImageFile)
        2    0.000    0.000    0.000    0.000 ImtImagePlugin.py:37(_open)
        1    0.000    0.000    0.000    0.000 IptcImagePlugin.py:19(<module>)
        1    0.000    0.000    0.000    0.000 IptcImagePlugin.py:54(IptcImageFile)
        3    0.000    0.000    0.000    0.000 JpegImagePlugin.py:261(_accept)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:267(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:19(<module>)
        2    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:24(_accept)
        1    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:30(McIdasImageFile)
        1    0.001    0.001    0.002    0.002 MicImagePlugin.py:20(<module>)
        1    0.000    0.000    0.000    0.000 MicImagePlugin.py:37(MicImageFile)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:16(<module>)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:23(BitStream)
        2    0.000    0.000    0.000    0.000 MpegImagePlugin.py:25(__init__)
        8    0.000    0.000    0.000    0.000 MpegImagePlugin.py:30(next)
        2    0.000    0.000    0.000    0.000 MpegImagePlugin.py:33(peek)
        2    0.000    0.000    0.000    0.000 MpegImagePlugin.py:49(read)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:58(MpegImageFile)
        2    0.000    0.000    0.000    0.000 MpegImagePlugin.py:63(_open)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:20(<module>)
        2    0.000    0.000    0.000    0.000 MspImagePlugin.py:31(_accept)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:38(MspImageFile)
        1    0.000    0.000    0.000    0.000 OleFileIO.py:120(_OleDirectoryEntry)
        1    0.000    0.000    0.000    0.000 OleFileIO.py:229(OleFileIO)
        1    0.000    0.000    0.000    0.000 OleFileIO.py:39(<module>)
        1    0.000    0.000    0.000    0.000 OleFileIO.py:82(_OleStream)
        1    0.000    0.000    0.001    0.001 PalmImagePlugin.py:10(<module>)
        1    0.001    0.001    0.001    0.001 PalmImagePlugin.py:81(build_prototype_image)
        1    0.000    0.000    0.000    0.000 PcdImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PcdImagePlugin.py:28(PcdImageFile)
        2    0.000    0.000    0.000    0.000 PcdImagePlugin.py:33(_open)
        1    0.000    0.000    0.000    0.000 PcxImagePlugin.py:28(<module>)
        2    0.000    0.000    0.000    0.000 PcxImagePlugin.py:35(_accept)
        1    0.000    0.000    0.000    0.000 PcxImagePlugin.py:41(PcxImageFile)
        1    0.000    0.000    0.000    0.000 PdfImagePlugin.py:23(<module>)
        1    0.000    0.000    0.000    0.000 PixarImagePlugin.py:22(<module>)
        1    0.000    0.000    0.000    0.000 PixarImagePlugin.py:38(PixarImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:151(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:169(PngStream)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:302(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:308(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:453(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:75(ChunkStream)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        3    0.000    0.000    0.000    0.000 PpmImagePlugin.py:40(_accept)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:46(PpmImageFile)
        1    0.000    0.000    0.000    0.000 PsdImagePlugin.py:19(<module>)
        1    0.000    0.000    0.000    0.000 PsdImagePlugin.py:54(PsdImageFile)
        1    0.000    0.000    0.000    0.000 SgiImagePlugin.py:21(<module>)
        2    0.000    0.000    0.000    0.000 SgiImagePlugin.py:27(i16)
        2    0.000    0.000    0.000    0.000 SgiImagePlugin.py:34(_accept)
        1    0.000    0.000    0.000    0.000 SgiImagePlugin.py:40(SgiImageFile)
        1    0.000    0.000    0.000    0.000 SpiderImagePlugin.py:36(<module>)
        1    0.000    0.000    0.000    0.000 SpiderImagePlugin.py:85(SpiderImageFile)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 SunImagePlugin.py:20(<module>)
        1    0.000    0.000    0.000    0.000 SunImagePlugin.py:39(SunImageFile)
        1    0.000    0.000    0.000    0.000 TgaImagePlugin.py:20(<module>)
        2    0.000    0.000    0.000    0.000 TgaImagePlugin.py:47(_accept)
        1    0.000    0.000    0.000    0.000 TgaImagePlugin.py:53(TgaImageFile)
        2    0.000    0.000    0.000    0.000 TiffImagePlugin.py:201(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:207(ImageFileDirectory)
        2    0.000    0.000    0.000    0.000 TiffImagePlugin.py:212(__init__)
        4    0.000    0.000    0.000    0.000 TiffImagePlugin.py:224(reset)
       28    0.000    0.000    0.001    0.000 TiffImagePlugin.py:244(__getitem__)
        4    0.000    0.000    0.000    0.000 TiffImagePlugin.py:254(get)
       22    0.000    0.000    0.000    0.000 TiffImagePlugin.py:260(getscalar)
        6    0.000    0.000    0.000    0.000 TiffImagePlugin.py:275(has_key)
       16    0.000    0.000    0.000    0.000 TiffImagePlugin.py:300(load_short)
        2    0.000    0.000    0.000    0.000 TiffImagePlugin.py:307(load_long)
        2    0.000    0.000    0.001    0.000 TiffImagePlugin.py:340(load)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:42(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:504(TiffImageFile)
        2    0.000    0.000    0.002    0.001 TiffImagePlugin.py:509(_open)
        2    0.000    0.000    0.002    0.001 TiffImagePlugin.py:541(_seek)
        2    0.000    0.000    0.000    0.000 TiffImagePlugin.py:561(_decoder)
        2    0.000    0.000    0.001    0.000 TiffImagePlugin.py:588(_setup)
      106    0.000    0.000    0.000    0.000 TiffImagePlugin.py:67(il16)
      194    0.000    0.000    0.000    0.000 TiffImagePlugin.py:69(il32)
        9    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        5    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        8    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       20    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 WmfImagePlugin.py:18(<module>)
        2    0.000    0.000    0.000    0.000 WmfImagePlugin.py:73(_accept)
        1    0.000    0.000    0.000    0.000 WmfImagePlugin.py:82(WmfStubImageFile)
        1    0.001    0.001    0.001    0.001 XVThumbImagePlugin.py:20(<module>)
        1    0.000    0.000    0.000    0.000 XVThumbImagePlugin.py:35(XVThumbImageFile)
        2    0.000    0.000    0.000    0.000 XVThumbImagePlugin.py:40(_open)
        1    0.000    0.000    0.005    0.005 XbmImagePlugin.py:22(<module>)
        2    0.000    0.000    0.000    0.000 XbmImagePlugin.py:38(_accept)
        1    0.000    0.000    0.000    0.000 XbmImagePlugin.py:44(XbmImageFile)
        1    0.000    0.000    0.001    0.001 XpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 XpmImagePlugin.py:34(XpmImageFile)
        3    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:6(get_info)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       17    0.031    0.002    0.218    0.013 __init__.py:1(<module>)
        2    0.003    0.001    0.003    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:101(<module>)
        1    0.003    0.003    0.073    0.073 __init__.py:103(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
      578    0.002    0.000    0.560    0.001 __init__.py:104(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(get_backend)
        1    0.017    0.017    0.317    0.317 __init__.py:106(<module>)
